,name,num,citations,numpapers
764,ercan erkul,2150204603,20,1
765,stefan feuser,1973152643,20,1
766,daniel kelterbaum,49589419,20,1
767,christina klein,2164201793,20,1
768,felix pirson,2233564742,20,1
769,andreas vott,2271540644,20,1
770,helmut bruckner,2124453595,20,1
771,kristof kovacs,2034161008,4,1
772,klaus hanke,2012204181,4,1
773,michael moser,2569070917,4,1
774,a stampolidis,2506582038,27,2
775,grigorios tsokas,2442140551,18,1
776,r lancaster,2016034403,3,1
777,gabriele bitelli,1974174592,17,1
778,valentina alena girelli,2009232757,17,1
779,lisa dojack,2284696897,6,1
780,nicholas kouchoukos,2650095023,29,1
781,m t carrozzo,2649306499,21,1
782,david c cowley,2664729062,12,1
783,anthony lauricella,2686452938,7,1
784,joshua cannon,2754730254,7,1
785,scott branting,2704284662,7,1
786,emily hammer,2558511706,7,1
787,martin pfennigbauer,1984630923,14,2
788,andreas ullrich,2302897515,14,2
789,johan linderholm,1955272244,3,1
790,paul geladi,2714448718,3,1
791,thomas j pingel,2779316201,7,1
792,keith c clarke,2172250303,7,1
793,anabel ford,2321084894,7,1
794,joseph keeney,2324907245,8,2
795,robert hickey,2166158159,4,1
796,david b landry,2023448923,10,2
797,ian j ferguson,2096874881,10,2
798,s brooke milne,2007240275,10,2
799,robert w park,2122736535,10,2
800,dwight f coleman,2124581530,16,1
801,james b newman,2429501991,16,1
802,robert d ballard,2137295604,16,1
803,ronald g blom,2099550923,14,2
804,a endre nyerges,2066575932,32,1
805,glen m green,2117770660,32,1
806,w de clercq,2129685005,10,1
807,p de smedt,2019385222,10,1
808,j de reu,2122117783,10,1
809,davy herremans,1989001936,10,1
810,m van meirvenne,1958905759,15,2
811,hugh thomas,2574001131,4,1
812,munzer jahjah,2034022524,27,2
813,carlo ulivieri,2145632385,27,2
814,p uribe,2439257534,5,1
815,j angas,2514142810,5,1
816,fernando perezcabello,169560458,5,1
817,j de la riva,2029853703,5,1
818,m bea,2685861082,5,1
819,a serreta,2701197081,5,1
820,m a magallon,2083642977,5,1
821,c saenz,2699663577,5,1
822,m martinbueno,2497534081,5,1
823,martin j f fowler,2086781045,22,1
824,tito scalo,2718585804,9,1
825,bruce w bevan,2420203940,14,1
826,dan lynch,2309316414,14,1
827,steven l de vore,2602521429,14,1
828,steve adamek,2117527102,14,1
829,travis martin,2627658797,14,1
830,george r holley,2117259751,14,1
831,michael g michlovic,2338445987,14,1
832,t schuler,2139106363,12,1
833,n bondarenko,2441626105,12,1
834,h g meyer,2422365190,12,1
835,james bonsall,2021166513,12,1
836,rob fry,2127947565,12,1
837,ian armit,68388792,12,1
838,erica utsi,2046487927,10,1
839,luca pantani,1903590323,35,1
840,luisa tomaselli,2153822757,35,1
841,gioia lamenti,1150244051,35,1
842,piero tiano,2210918654,35,1
843,roberto chiari,1987233562,35,1
844,michele pipan,2429882779,24,1
845,l baradello,2684354287,24,1
846,emanuele forte,2172112119,24,1
847,i finetti,2256625874,24,1
848,edward r henry,2598956861,14,1
849,benedetto figorito,2304269144,26,2
850,eufemia tarantino,2148977935,26,2
851,brian bingham,1984016579,22,2
852,timothy k perttula,92902669,13,1
853,chester p walker,2165852064,13,1
854,t clay schultz,2126264140,13,1
855,s piro,2706528108,42,2
856,paolo mauriello,1996378006,42,2
857,fabio cammarano,1656840180,42,2
858,c r i clayton,2128403331,13,1
859,ayse gulcin kucukkaya,2552061552,17,1
860,jason t herrmann,2138427236,15,1
861,aaron s fogel,2141668186,15,1
862,gary priestnall,279175341,31,1
863,adam gardner,2142015761,31,1
864,julian henderson,2320744171,31,1
865,sarah l ohara,2127506177,31,1
866,david simpson,2102230708,18,2
867,alexander lehouck,2238069331,26,2
868,erik thoen,2603518603,13,1
869,j vervloet,450796590,13,1
870,eileen g ernenwein,1226780862,33,2
871,christine markussen,2094366038,21,1
872,m dabas,2807362270,10,1
873,l marasco,1994827996,10,1
874,s piro,2750614163,10,1
875,d zamuner,2686676132,10,1
876,antonio pecci,2560749717,6,1
877,felice perciante,2222374910,6,1
878,denise pozzi escot,2560046138,6,1
879,manuela scavone,2560026677,6,1
880,william bowden,2117642245,5,1
881,p n chroston,2483349907,5,1
882,antonio invernizzi,2495477823,13,1
883,roberto parapetti,2684670826,13,1
884,jeroen de reu,1976847193,6,1
885,jan trachet,2224169795,6,1
886,pieter laloo,2080515429,6,1
887,wim de clercq,2498276890,6,1
888,arianna traviglia,2892424799,9,1
889,andrea torsello,2044774160,9,1
890,james schindling,2507254882,9,1
891,cerian gibbes,2031578206,9,1
892,michael griffin,2096691495,27,1
893,lieven verdonck,2405619446,11,2
894,devi taelman,1971194197,6,1
895,nicolas poirier,2102506906,11,1
896,florent hautefeuille,1983129072,11,1
897,carine calastrenc,994671570,11,1
898,oscar pueyo anchuela,1999750939,3,1
899,pilar diarte blasco,2195272779,3,1
900,carlos garcia benito,2141092292,3,1
901,antonio maria casas sainz,2230121297,3,1
902,andres pocovi juan,2126785964,3,1
903,david stott,2315665737,9,1
904,doreen s boyd,2160112189,9,1
905,anthony g cohn,2149556533,9,1
906,doria kutrubes,2663442112,10,1
907,henrique lorenzo,2798508891,18,2
908,salvatore piro,2703540400,11,1
909,roberto gabrielli,2635248078,21,2
910,mark grasmueck,2556912297,8,1
911,dave a viggiano,2551169975,8,1
912,e b banning,2143910474,4,1
913,alicia l hawkins,2147420677,4,1
914,s t stewart,2488342828,4,1
915,t saunders,2238354957,13,1
916,j adcock,2130587243,13,1
917,william h marquardt,2618961478,10,1
918,karen j walker,2156865643,10,1
919,seth quintus,2778404904,8,1
920,jeffrey t clark,2619252977,8,1
921,stephanie s day,2613799645,8,1
922,donald p schwert,2079878494,8,1
923,hui zhou,2427972608,8,1
924,albert hesse,2575541492,20,1
925,jeanne tabbagh,2550266427,20,1
926,ulrich kamp,1859524246,11,1
927,kevin gregory mcmanigal,2057878238,11,1
928,avirmed dashtseren,2085448860,11,1
929,michael walther,2893116646,11,1
930,laurent lescop,32128012,3,1
931,serge cassen,2004281250,3,1
932,m de la vega,2162891848,9,1
933,ana osella,2241665427,9,1
934,e lascano,2425120783,9,1
935,jose m carcione,2642836476,9,1
936,adrian s z chase,2590737022,4,1
937,katrijn dirix,1535513966,7,1
938,philippe muchez,1973026617,7,1
939,patrick degryse,2650262079,7,1
940,branko music,2429987054,10,2
941,jeroen poblome,2786927370,10,2
942,carlotta ferrara,2473293692,3,1
943,pier matteo barone,2687992820,3,1
944,d mavromati,1972908333,8,1
945,e petsa,2442965923,8,1
946,g karras,2462085443,8,1
947,oyvind odegard,2149858535,7,2
948,martin ludvigsen,2011983895,7,2
949,petter a lagstad,2046644046,4,1
950,julien thiesson,2345799392,15,1
951,sebastien flageul,2690758708,15,1
952,marco dubbini,279142927,4,1
953,lucia irene curzio,2414177667,4,1
954,alessandro campedelli,2099290276,4,1
955,julien thiesson,2747303078,6,1
956,gabrielle rousselle,2031486362,6,1
957,francois xavier simon,2306039719,6,1
958,alain tabbagh,152426863,6,1
959,m harrower,2156081638,18,1
960,joy mccorriston,2025801155,18,1
961,eric a oches,2078453418,18,1
962,luca ghiraldi,2238584420,5,1
963,enrico giordano,2795989602,5,1
964,luigi perotti,2051065585,5,1
965,marco giardino,717756032,5,1
966,margret c fuchs,2108359744,24,2
967,sebastian kreutzer,2101437981,12,1
968,christoph burow,1414860512,12,1
969,michael dietze,2229576275,12,1
970,manfred fischer,2160555418,12,1
971,christoph schmidt,2222362852,12,1
972,markus fuchs,1991308361,12,1
973,franciscojavier mesascarrascosa,2210935584,8,1
974,maria dolores notario garcia,2547947506,8,1
975,jose emilio merono de larriva,2669609683,8,1
976,alfonso garciaferrer,2089364264,8,1
977,dirk h r spennemann,2017542781,21,1
978,andy creekmore,2521543117,12,1
979,pietro alessandro brivio,138879665,22,1
980,monica pepe,2624394947,22,1
981,roberto tomasoni,1978248346,22,1
982,devin white,2152539063,16,2
983,jera r davis,2320883431,7,1
984,chester walker,2619580092,7,1
985,john h blitz,2325041621,7,1
986,daniele cerra,1814716107,4,1
987,rosa maria cavalli,2906771769,4,1
988,kasper hanus,2760851658,8,2
989,damian evans,2122082519,8,2
990,walter edwards,2096017775,14,1
991,masaaki okita,2111602795,14,1
992,giuseppe ceraudo,2755682180,8,1
993,d zamuner,2646293644,8,1
994,jason t herrmann,2321214624,4,1
995,s piro,2572266508,10,1
996,d peloso,2628838989,10,1
997,monica bini,2041240759,4,1
998,ilaria isola,2293736656,4,1
999,giovanni zanchetta,1995955197,4,1
1000,adriano ribolini,1968258470,4,1
1001,andrea ciampalini,1984234500,4,1
1002,ilaria baneschi,1991196607,4,1
1003,daniela mele,2056158040,4,1
1004,anna lucia dagata,2794729160,4,1
1005,t f abdallatif,2004937277,10,1
1006,s e mousa,2477588283,10,1
1007,a elbassiony,1215251274,10,1
1008,burkart ullrich,2109459611,12,2
1009,georg kaufmann,2156867527,7,1
1010,rudolf kniess,1645335128,7,1
1011,henning zoellner,2006865411,7,1
1012,michael meyer,2475563068,7,1
1013,lilli keller,2463564081,7,1
1014,till f sonnemann,1977423320,4,1
1015,gino caspari,2224930249,4,1
1016,bihong fu,2650737105,4,1
1017,mingsheng liao,2115338332,4,1
1018,fabio grasso,2629454641,4,1
1019,jose maria terron,2615879228,4,1
1020,victorino mayoral,2173573911,4,1
1021,jose angel salgado,2586948558,4,1
1022,francisco antonio galea,2427317937,4,1
1023,victor hurtado perez,2115023927,4,1
1024,carlos p odriozola,2010034703,4,1
1025,pedro mateos,2906486697,4,1
1026,antonio pizzo,2420849515,4,1
1027,alessandro cozza,2547972195,5,1
1028,marco cozza,2548826251,5,1
1029,raffaele peluso,2679968877,5,1
1030,marco lupia,1950117210,5,1
1031,gianni cario,2227213847,5,1
1032,matthew meredithwilliams,2345334127,12,1
1033,niklas hausmann,2622958390,12,1
1034,geoffrey n bailey,2120037947,12,1
1035,g c p king,2894331191,12,1
1036,abdullah alsharekh,2345007489,12,1
1037,s al ghamdi,2635633529,12,1
1038,robyn helen inglis,2582351741,12,1
1039,hector a orengo,1999271583,6,1
1040,h odah,2470167007,9,1
1041,t f abdallatif,2681834516,9,1
1042,i a elhemaly,2596196892,9,1
1043,e abd elall,2087679524,9,1
1044,massimo sciotti,2084582921,12,1
1045,fabiola colone,2018287118,12,1
1046,debora pastina,2144855372,12,1
1047,t bucciarelli,2427592505,12,1
1048,ioana a oltean,2894383519,7,1
1049,alina tsugai,210077964,4,1
1050,jueri plado,2574260741,4,1
1051,argo joeleht,1964487765,4,1
1052,aivar kriiska,1227838316,4,1
1053,mario mustasaar,2091395107,4,1
1054,hanna raig,2030352033,4,1
1055,jan risberg,1982253052,4,1
1056,alar rosentau,1902667613,4,1
1057,martina ballarin,2521439054,3,1
1058,caterina balletti,2138856276,6,2
1059,francesco guerra,2124609330,6,2
1060,arnaud meline,2433391155,7,1
1061,jean triboulet,2047177467,7,1
1062,bruno jouvencel,2688013967,7,1
1063,gilles bossuet,1998562999,6,1
1064,matthieu thivet,1237190333,6,1
1065,sylvain trillaud,1990620683,6,1
1066,eric marmet,2303458034,6,1
1067,clement laplaige,1219498374,6,1
1068,g hullin,369757409,6,1
1069,a favard,2805792737,6,1
1070,l combe,2686412011,6,1
1071,e barres,2698331026,6,1
1072,s lacaze,2648934647,6,1
1073,laurent aubry,2608669079,6,1
1074,m chassang,2593770401,6,1
1075,a mourot,2654845315,6,1
1076,christian camerlynck,1256865192,6,1
1077,luigi magnini,2566694367,5,1
1078,cinzia bettineschi,2563119659,5,1
1079,armando de guio,2681862031,5,1
1080,c britt bousman,2059785729,6,1
1081,tuna kalayci,2723651877,12,1
1082,martin wieser,2246449086,5,1
1083,heather richardsrissetto,2757540693,6,1
1084,igor zingman,193640279,8,1
1085,armin schmidt,2252597813,17,2
1086,hassan fazeli,2214591733,13,1
1087,koreen millard,2628636807,15,1
1088,charles burke,2556594557,15,1
1089,douglas stiff,2137286137,15,1
1090,anna m redden,2099489372,15,1
1091,r k mishra,2656904413,5,1
1092,p n s roy,2426459036,5,1
1093,j pandey,2662153160,5,1
1094,a khalkho,2650137234,5,1
1095,v k singh,2665972751,5,1
1096,evaristo ricchetti,2064578527,11,2
1097,s cheyney,2008937374,9,1
1098,ian a hill,2612910638,9,1
1099,glenn c conroy,1139615552,8,1
1100,christopher stewart,2587266890,8,2
1101,juan ortiz,2491991773,6,1
1102,ma luz gil,2138674915,6,1
1103,santiago martinez,2596913217,6,1
1104,teresa rego,2087552566,6,1
1105,gonzalo meijide,2128305203,6,1
1106,joachim matthes,2133768698,15,1
1107,christiane meyburg,2423517693,15,1
1108,g n tsokas,1784202376,72,6
1109,r o hansen,2558486775,23,2
1110,torsten prinz,2629182423,4,1
1111,benedikt lasar,222325786,4,1
1112,karl peter kruger,2607528534,4,1
1113,i mertzanidis,402519633,9,1
1114,p tsourlos,1982013178,41,4
1115,r hamza,2682321246,9,1
1116,c chrisafis,2258948706,9,1
1117,d ambonis,400062024,9,1
1118,i tavlakis,430297177,9,1
1119,fabio dagnano,2567403720,3,1
1120,paolo vernier,2118100892,3,1
1121,pedro arias,2129105287,8,1
1122,rebecca bennett,2713894437,8,1
1123,jamie k pringle,2114834168,9,1
1124,matteo giubertoni,1996052790,18,2
1125,nigel j cassidy,1966540491,9,1
1126,kristopher d wisniewski,2233299030,9,1
1127,j d hansen,2464375007,9,1
1128,rebecca m daniels,2695758569,9,1
1129,milena nowak,2623660728,4,1
1130,rebecca nowak,2646782943,4,1
1131,erminio paolo canavese,2676764450,4,1
1132,paolo forti,2089377162,4,1
1133,angelo naseddu,233347078,4,1
1134,luciano ottelli,2278233754,4,1
1135,roberta tedeschi,2714081995,4,1
1136,angel munoznieto,2170161141,9,1
1137,julia armesto,2143217907,9,1
1138,k tan,2423746496,4,1
1139,y wan,2577937456,4,1
1140,x zhou,2697811398,4,1
1141,d song,2578607064,4,1
1142,q duan,2482627708,4,1
1143,rosanna montanaro,2528860591,5,1
1144,maura sala,2715029058,5,1
1145,paolo riccardi,2643428262,5,1
1146,christian m milea,2038406380,6,1
1147,c b papazachos,2273027011,27,2
1148,ken hamilton,2096526074,7,1
1149,derrold w holcomb,2147678711,64,3
1150,i shennan,2697863097,17,1
1151,d n m donoghue,2574283405,17,1
1152,ricardo roura,2045179083,3,1
1153,rory mcneary,2577033186,6,1
1154,rania bou kheir,2894323810,6,1
1155,chadi abdallah,2737884456,6,1
1156,r castaldo,2893301819,7,1
1157,lorenzo crocco,2054900548,7,1
1158,m fedi,2898593646,7,1
1159,b garofalo,2687508548,7,1
1160,a rossi,2577553070,7,1
1161,m pappa,2702889199,21,1
1162,m bessios,2304392396,21,1
1163,antonios giannopoulos,1969302706,21,1
1164,alicia m gonzalez,2288573020,6,1
1165,dan thompson,2417939006,6,1
1166,steve elkins,2661411760,6,1
1167,mandyam b rajani,2115745385,4,1
1168,sumanta k patra,2106372914,4,1
1169,mamta verma,2499051174,4,1
1170,thomas reitmaier,2635749553,4,1
1171,kaimarisdimitris,2902841797,3,1
1172,patiaspetros,2902834293,3,1
1173,wim cornelis,2171171057,5,1
1174,a plyson,2796732539,5,1
1175,i a oltean,2892461005,4,1
1176,awni batayneh,2074866530,9,1
1177,a savvaidis,2639588897,14,1
1178,y liritzis,2655084164,14,1
1179,m apostolou,2667761249,14,1
1180,gregory mumford,2464503392,7,1
1181,sarah parcak,2515199597,7,1
1182,maria cristina salvi,2687760907,6,1
1183,riccardo salvini,2252096632,6,1
1184,alice cartocci,2887557705,6,1
1185,simone kozciak,2752989297,6,1
1186,rosalia gallotti,1787702816,6,1
1187,marcello piperno,2749516295,6,1
1188,parker vanvalkenburgh,2290867266,6,1
1189,chester p walker,2673513733,6,1
1190,jennie o sturm,2507679122,6,1
1191,jose a torres,2479179397,5,1
1192,david hernandezlopez,1938440400,5,1
1193,miguel angel moreno hidalgo,2898983792,5,1
1194,arnaud ansart,2026571690,3,1
1195,frank braemer,1834630594,3,1
1196,gourguen davtian,2190636616,3,1
1197,matthias leopold,2080797760,5,1
1198,evey gannaway,1555956061,5,1
1199,jorg volkel,1993768934,5,1
1200,florian haas,2101577674,5,1
1201,michael becht,2094483638,5,1
1202,tobias heckmann,2290548054,5,1
1203,markus westphal,2171091909,5,1
1204,gerhard zimmer,2573568232,5,1
1205,d c cowley,2592204599,12,1
1206,garry momber,1963679340,10,1
1207,mathew geen,2627807981,10,1
1208,vincenzo di fiore,2148111630,3,1
1209,giuseppe cavuoto,905060839,3,1
1210,michele punzo,1985319573,3,1
1211,daniela tarallo,2051593117,3,1
1212,marco casazza,2617643259,3,1
1213,silvio marco guarriello,2749135925,3,1
1214,massimiliano lega,2462263179,3,1
1215,john mckim malville,2162121609,11,1
1216,lalit m gujral,1815116540,11,1
1217,karl w wegmann,2121520824,6,1
1218,delwayne r bohnenstiehl,2308188854,6,1
1219,jeffrey d bowman,2304374150,6,1
1220,jeffrey a homburg,2620331654,6,1
1221,jason d windingstad,2634607698,6,1
1222,derek beery,2577103501,6,1
1223,alessandro de masi,2506683114,3,1
1224,m guarneri,2140064477,3,1
1225,luigi de dominicis,2028804826,3,1
1226,mario ferri de collibus,238193114,3,1
1227,g fornetti,2032203573,3,1
1228,m francucci,1519253220,3,1
1229,marcello nuvoli,2051228215,3,1
1230,alessandro danielis,2024326903,3,1
1231,arianna mencattini,53382717,3,1
1232,l fiorani,2640054348,5,1
1233,m bortone,2673448874,5,1
1234,s mattei,2720420943,5,1
1235,c ruocchio,2643216171,5,1
1236,s vetrella,2711792656,5,1
1237,antonio salome,2707701740,5,1
1238,s p lukyanov,2627518947,3,1
1239,r a stepanov,2078863236,3,1
1240,o v stukach,2441285625,3,1
1241,dimitrios kaimaris,1987106047,4,1
1242,georgios karadedos,2068428576,4,1
1243,g scardozzi,2718474167,3,1
1244,heather papworth,2554214743,4,1
1245,david thackray,2692463029,4,1
1246,keith wilkinson,2172181237,5,1
1247,giuseppe scardozzi,2691512463,3,1
1248,p m barone,2787949778,5,1
1249,t bellomo,2567193472,5,1
1250,j barto arnold,2246046381,3,1
1251,maurizio forte,2424575265,12,2
1252,martin j f fowler,2712535262,25,2
1253,asgeir j sorensen,2137051530,3,1
1254,roy edgar hansen,2153500247,3,1
1255,emma louise cunliffe,2609270324,4,1
1256,s loya,2402011306,3,1
1257,tito scalo,2694057314,3,1
1258,diane l evans,2127297357,5,1
1259,tom g farr,2142715642,5,1
1260,ioana a oltean,2005808793,4,1
1261,lauren l abell,2106906514,4,1
1262,m j lawrence,2723225355,10,1
1263,c r bates,2700626901,10,1
1264,alison s lathrop,2684573388,6,1
1265,ballard e ebbett,2484618675,6,1
1266,tan ke,2491317632,4,1
1267,wan yu,2662569438,4,1
1268,leonidas toulios,305287434,3,1
1269,j m maillol,2664884417,7,1
1270,d l ciobotaru,2576639153,7,1
1271,i moravetz,1898237342,7,1
1272,martin gade,2076559774,3,1
1273,jorn kohlus,188485624,3,1
1274,cornelia kost,2762676608,3,1
1275,giuseppe scardozzi,2764474546,4,1
1276,jocelyn bernatchez,2165303107,5,1
1277,curtis w marean,17460094,5,1
1278,nobuya watanabe,2323684998,4,1
1279,shinichi nakamura,2263110287,4,1
1280,bin liu,2671325542,4,1
1281,ningyuan wang,2661881233,4,1
1282,steven d sheriff,2465050035,5,1
1283,douglas h macdonald,2096474154,5,1
1284,david s dick,2490174937,5,1
1285,sofia theodoridou,2218484508,6,1
1286,kostas tokmakidis,2181705493,6,1
1287,dimitris scarlatos,2182017840,6,1
1288,e podest,2224924575,6,1
1289,robert murowchick,2693572855,6,1
1290,kent schneider,2128553595,5,1
1291,agamemnon g pantel,2490489547,5,1
1292,danny donohoe,2319041849,9,1
1293,dirk hoffmeister,2190477742,3,1
1294,stefan zellmann,2014743128,3,1
1295,andreas pastoors,2044607236,3,1
1296,martin kehl,1968640845,3,1
1297,pedro cantalejo,2472946714,3,1
1298,jose ramos,2482608193,3,1
1299,gerdchristian weniger,2467556457,3,1
1300,georg bareth,117876849,3,1
1301,y nishimura,2637035535,8,1
1302,t uno,2207967247,8,1
1303,t yamamoto,2375968395,8,1
1304,william j folan,71795095,22,1
1305,joyce marcus,2127118708,22,1
1306,w frank miller,2141008232,22,1
1307,thomas m urban,2321818248,4,1
1308,jeffrey t rasic,2021401682,4,1
1309,claire alix,2805965415,4,1
1310,douglas d anderson,2395836469,4,1
1311,owen k mason,2110723104,4,1
1312,andrew h tremayne,2496649216,4,1
1313,christopher b wolff,2477198403,4,1
1314,antonio m montufo,2220115143,15,1
1315,robert gearhart,2259220079,3,1
1316,nikos t papadopoulos,2296398384,3,1
1317,s papamarinopoulos,1926667776,8,2
1318,a liosis,2052140027,5,1
1319,l polymenakos,2686836447,5,1
1320,p stephanopoulos,389925490,5,1
1321,k limnaeoupapakosta,418942528,5,1
1322,m b rajani,2590282957,5,1
1323,k kasturirangan,2420228726,5,1
1324,rami alruzouq,2476165625,3,1
1325,abdelrahman abueladas,2337855097,3,1
1326,l castrianni,662915516,3,1
1327,g di giacomo,2162139323,3,1
1328,i ditaranto,393082463,3,1
1329,denisse argoteespino,2047003610,7,1
1330,rene e chavez,2107751175,7,1
1331,fabien hoblea,61053366,3,1
1332,nathalie cayla,1248576289,3,1
1333,pierre renau,2468753008,3,1
1334,gavin c cawley,738756060,7,1
1335,p neil chroston,1443903179,7,1
1336,peter l steere,2522859347,21,1
1337,payson sheets,1790116258,21,1
1338,brian r mckee,2126438951,21,1
1339,david gilman romano,2385896151,8,1
1340,e luck,2642611152,10,1
1341,m eisenreich,2721881854,10,1
1342,john cloud,2644506547,16,1
1343,cornelius meyer,2558170139,5,1
1344,christophe d m barlieb,2285538018,5,1
1345,tomasz herbich,1047917680,7,1
1346,krzysztof misiewicz,2695956281,7,1
1347,otto teschauer,2294168248,7,1
1348,karim sadr,2088121346,3,1
1349,chris cox,2723667071,23,1
1350,mancheol suh,2170578814,4,1
1351,jinyong oh,2140172356,4,1
1352,kim ki hyun,2706008851,4,1
1353,nikos papadopoulos,2810799665,10,2
1354,e kokkinou,2471678691,5,1
1355,b wells,2153267715,5,1
1356,a penttinen,2427764531,5,1
1357,e savini,2707160057,5,1
1358,ermanno finzi,2636075210,3,1
1359,nicola praticelli,2034996848,3,1
1360,l vettore,2497891916,3,1
1361,a zaja,2633336606,3,1
1362,r walker,2571741110,6,1
1363,e wood,2642144270,6,1
1364,jorge lira,2098322392,4,1
1365,p lopez,2635868688,4,1
1366,alejandro rodriguez,2138347178,4,1
1367,d f coleman,2712415475,7,1
1368,r d ballard,2805834578,7,1
1369,t gregory,2279891539,7,1
1370,hugh thomas,2763023026,3,1
1371,richard n palmer,2097519593,3,1
1372,p merola,2627130855,3,1
1373,a allegrini,2798367278,3,1
1374,d guglietta,2655558194,3,1
1375,s sampieri,1967526211,3,1
1376,alastair ruffell,1811864990,5,1
1377,john wilson,2607002073,5,1
1378,m c corney,2647862805,4,1
1379,vl gaffney,2309589374,4,1
1380,c f gaffney,2679571446,4,1
1381,fabio di salvo,2324248355,3,1
1382,mauro lo brutto,2892822347,3,1
1383,benjamin f richason,2341793889,4,1
1384,carrie hritz,2337138877,4,1
1385,bernd kulessa,2020053215,6,2
1386,beverly chiarulli,2273932139,3,1
1387,susanne haney,1970056358,3,1
1388,kristiaan verhoeven,2530900941,5,1
1389,luc daels,379863180,5,1
1390,huw barton,2646149371,3,1
1391,thomas l carr,2309098916,8,1
1392,mort d turner,2432640485,8,1
1393,konstantinos perakis,2669659503,3,1
1394,athanasios moysiadis,295209173,3,1
1395,robert sablatnig,209192686,8,1
1396,christian menard,2715847837,8,1
1397,mark r schurr,2012989086,5,1
1398,barbara luke,2612434574,6,1
1399,james e brady,2502038880,6,1
1400,p merola,2643470093,3,1
1401,a allegrini,2668126463,3,1
1402,s bajocco,2682398347,3,1
1403,mostafa fayek,2174095665,3,1
1404,mathieu de meyer,2631636126,3,1
1405,martijn van leusen,53406127,5,1
1406,pamela sands showalter,2640728408,10,1
1407,george c philip,2304289829,5,1
1408,eyal bendor,2118942296,6,1
1409,juval portugali,1216790474,6,1
1410,moshe kochavi,2689588853,6,1
1411,michal shimoni,2527401623,6,1
1412,lipaz vinitzky,2664298756,6,1
1413,guenter grabher,2396902768,4,1
1414,david lashlee,2522377515,6,1
1415,frederick l briuer,1489056481,6,1
1416,william l murphy,2483915848,6,1
1417,eric v mcdonald,2647362353,6,1
1418,m dogan,2598664704,3,1
1419,robert h webb,2135936968,4,1
1420,diane e boyer,2149462328,4,1
1421,raymond m turner,2143694348,4,1
1422,stephen h bullock,2151292291,4,1
1423,d batmunkh,2698493511,4,1
1424,s tosun,2430304905,4,1
1425,b gundogdu,2464374028,4,1
1426,m e candansayar,2670143785,4,1
1427,e u ulugergerli,2663693255,4,1
1428,f papi,2049734387,7,1
1429,marco apollonio,1836625547,7,1
1430,b vaschetti,2345089332,7,1
1431,silvano benvenuti,1967058260,7,1
1432,andrew r boucher,2664705985,4,1
1433,jeffrey cody,2686876910,11,1
1434,david buisseret,2658343922,11,1
1435,e bozzo,2656132563,5,1
1436,s lombardo,2632361482,5,1
1437,f merlanti,2714777077,5,1
1438,m pavan,2673577042,5,1
1439,w frank miller,2702403065,4,1
1440,thomas l sever,2712184488,4,1
1441,c daniel lee,2203897527,4,1
1442,elizabeth moore,2101580016,3,1
1443,anthony freeman,2101129662,3,1
1444,femke martens,2439608827,3,1
1445,dominique similoxtohon,1978355624,3,1
1446,gert verstraeten,2894348773,3,1
1447,peter talloen,2805442579,3,1
1448,inge uytterhoeven,168420452,3,1
1449,erika luck,2509129011,4,1
1450,manfred eisenreich,2010668809,4,1
1451,ute spangenberg,1227248044,4,1
1452,g christl,432039511,4,1
1453,abel joel grout,2347137698,3,1
1454,lee d slater,2672495537,3,1
1455,kevin barton,2109711600,3,1
1456,ervan g garrison,2147223250,3,1
