source,target,mag
2230518824.0,1972671123.0,2.0
2230518824.0,2467812216.0,1.0
2230518824.0,2102468776.0,1.0
2171453219.0,2423311355.0,2.0
2171453219.0,1972671123.0,2.0
2171453219.0,2467812216.0,1.0
2171453219.0,2102468776.0,1.0
1972671123.0,2277217696.0,4.0
1972671123.0,2121269922.0,4.0
1985797339.0,2277217696.0,2.0
1985797339.0,2121269922.0,2.0
2230518824.0,2277217696.0,1.0
2230518824.0,2121269922.0,1.0
2171453219.0,2277217696.0,1.0
2171453219.0,2121269922.0,1.0
687459025.0,2169669433.0,1.0
2122991678.0,2169669433.0,1.0
1924943578.0,2169669433.0,1.0
2040988091.0,2169669433.0,1.0
687459025.0,2087314693.0,1.0
687459025.0,1914535798.0,1.0
687459025.0,2105245141.0,1.0
687459025.0,2310846884.0,1.0
2122991678.0,2087314693.0,1.0
2122991678.0,1914535798.0,1.0
2122991678.0,2105245141.0,1.0
2122991678.0,2310846884.0,1.0
1924943578.0,2087314693.0,1.0
1924943578.0,1914535798.0,1.0
1924943578.0,2105245141.0,1.0
1924943578.0,2310846884.0,1.0
2040988091.0,2087314693.0,1.0
2040988091.0,1914535798.0,1.0
2040988091.0,2105245141.0,1.0
2040988091.0,2310846884.0,1.0
687459025.0,2218484508.0,1.0
687459025.0,2181705493.0,1.0
687459025.0,2182017840.0,1.0
2122991678.0,2218484508.0,1.0
2122991678.0,2181705493.0,1.0
2122991678.0,2182017840.0,1.0
1924943578.0,2218484508.0,1.0
1924943578.0,2181705493.0,1.0
1924943578.0,2182017840.0,1.0
2040988091.0,2218484508.0,1.0
2040988091.0,2181705493.0,1.0
2040988091.0,2182017840.0,1.0
2223747502.0,2071346827.0,2.0
2156812960.0,2071346827.0,2.0
2118105792.0,2071346827.0,2.0
2012208279.0,2071346827.0,2.0
2646209300.0,2071346827.0,2.0
2143261198.0,2071346827.0,2.0
2419516668.0,2071346827.0,2.0
2433864649.0,2071346827.0,2.0
2223747502.0,2106824575.0,1.0
2223747502.0,1765929309.0,1.0
2223747502.0,2307196916.0,1.0
2223747502.0,1984613836.0,1.0
2156812960.0,2106824575.0,1.0
2156812960.0,1765929309.0,1.0
2156812960.0,2307196916.0,1.0
2156812960.0,1984613836.0,1.0
2118105792.0,2106824575.0,1.0
2118105792.0,1765929309.0,1.0
2118105792.0,2307196916.0,1.0
2118105792.0,1984613836.0,1.0
2012208279.0,2106824575.0,1.0
2012208279.0,1765929309.0,1.0
2012208279.0,2307196916.0,1.0
2012208279.0,1984613836.0,1.0
2646209300.0,2106824575.0,1.0
2646209300.0,1765929309.0,1.0
2646209300.0,2307196916.0,1.0
2646209300.0,1984613836.0,1.0
2143261198.0,2106824575.0,1.0
2143261198.0,1765929309.0,1.0
2143261198.0,2307196916.0,1.0
2143261198.0,1984613836.0,1.0
2419516668.0,2106824575.0,1.0
2419516668.0,1765929309.0,1.0
2419516668.0,2307196916.0,1.0
2419516668.0,1984613836.0,1.0
2433864649.0,2106824575.0,1.0
2433864649.0,1765929309.0,1.0
2433864649.0,2307196916.0,1.0
2433864649.0,1984613836.0,1.0
2223747502.0,2423311355.0,2.0
2223747502.0,1972671123.0,1.0
2223747502.0,2467812216.0,1.0
2223747502.0,2102468776.0,1.0
2156812960.0,2423311355.0,2.0
2156812960.0,1972671123.0,1.0
2156812960.0,2467812216.0,1.0
2156812960.0,2102468776.0,1.0
2118105792.0,2423311355.0,2.0
2118105792.0,1972671123.0,1.0
2118105792.0,2467812216.0,1.0
2118105792.0,2102468776.0,1.0
2012208279.0,2423311355.0,2.0
2012208279.0,1972671123.0,1.0
2012208279.0,2467812216.0,1.0
2012208279.0,2102468776.0,1.0
2646209300.0,2423311355.0,2.0
2646209300.0,1972671123.0,1.0
2646209300.0,2467812216.0,1.0
2646209300.0,2102468776.0,1.0
2143261198.0,2423311355.0,2.0
2143261198.0,1972671123.0,1.0
2143261198.0,2467812216.0,1.0
2143261198.0,2102468776.0,1.0
2419516668.0,2423311355.0,2.0
2419516668.0,1972671123.0,1.0
2419516668.0,2467812216.0,1.0
2419516668.0,2102468776.0,1.0
2433864649.0,2423311355.0,2.0
2433864649.0,1972671123.0,1.0
2433864649.0,2467812216.0,1.0
2433864649.0,2102468776.0,1.0
2223747502.0,2509657949.0,1.0
2156812960.0,2509657949.0,1.0
2118105792.0,2509657949.0,1.0
2012208279.0,2509657949.0,1.0
2646209300.0,2509657949.0,1.0
2143261198.0,2509657949.0,1.0
2419516668.0,2509657949.0,1.0
2433864649.0,2509657949.0,1.0
2223747502.0,2591446475.0,1.0
2156812960.0,2591446475.0,1.0
2118105792.0,2591446475.0,1.0
2012208279.0,2591446475.0,1.0
2646209300.0,2591446475.0,1.0
2143261198.0,2591446475.0,1.0
2419516668.0,2591446475.0,1.0
2433864649.0,2591446475.0,1.0
2106824575.0,2121269922.0,3.0
2106824575.0,2277217696.0,3.0
2106824575.0,2717473455.0,2.0
1765929309.0,2121269922.0,1.0
1765929309.0,2277217696.0,1.0
1765929309.0,2717473455.0,1.0
2307196916.0,2121269922.0,1.0
2307196916.0,2277217696.0,1.0
2307196916.0,2717473455.0,1.0
1984613836.0,2121269922.0,1.0
1984613836.0,2277217696.0,1.0
1984613836.0,2717473455.0,1.0
2106824575.0,2509657949.0,2.0
1765929309.0,2509657949.0,1.0
2307196916.0,2509657949.0,1.0
1984613836.0,2509657949.0,1.0
2106824575.0,2070005598.0,1.0
2106824575.0,2172039928.0,1.0
2106824575.0,2720009175.0,1.0
2106824575.0,2305407655.0,1.0
1765929309.0,2070005598.0,1.0
1765929309.0,2172039928.0,1.0
1765929309.0,2720009175.0,1.0
1765929309.0,2305407655.0,1.0
2307196916.0,2070005598.0,1.0
2307196916.0,2172039928.0,1.0
2307196916.0,2720009175.0,1.0
2307196916.0,2305407655.0,1.0
1984613836.0,2070005598.0,1.0
1984613836.0,2172039928.0,1.0
1984613836.0,2720009175.0,1.0
1984613836.0,2305407655.0,1.0
2106824575.0,2106824575.0,3.0
1765929309.0,2106824575.0,2.0
2307196916.0,2106824575.0,2.0
1984613836.0,2106824575.0,2.0
2106824575.0,2077736714.0,2.0
1765929309.0,2077736714.0,1.0
2307196916.0,2077736714.0,1.0
1984613836.0,2077736714.0,1.0
233151887.0,1978271887.0,5.0
146908812.0,1978271887.0,5.0
233151887.0,1972671123.0,1.0
146908812.0,1972671123.0,1.0
233151887.0,2495405225.0,4.0
146908812.0,2495405225.0,4.0
233151887.0,2636239501.0,1.0
146908812.0,2636239501.0,1.0
2213385597.0,2169669433.0,2.0
2213385597.0,2126899833.0,1.0
2213385597.0,1970773585.0,1.0
2213385597.0,2112772285.0,1.0
2122438261.0,2169669433.0,2.0
2122438261.0,2126899833.0,1.0
2122438261.0,1970773585.0,1.0
2122438261.0,2112772285.0,1.0
2197783474.0,2121269922.0,7.0
2197783474.0,2277217696.0,6.0
2197783474.0,2717473455.0,2.0
2121269922.0,2121269922.0,9.0
2121269922.0,2277217696.0,7.0
2121269922.0,2717473455.0,5.0
2277217696.0,2121269922.0,5.0
2277217696.0,2277217696.0,4.0
2277217696.0,2717473455.0,2.0
2197783474.0,2070005598.0,2.0
2197783474.0,2172039928.0,2.0
2197783474.0,2720009175.0,2.0
2197783474.0,2305407655.0,2.0
2121269922.0,2070005598.0,2.0
2121269922.0,2172039928.0,2.0
2121269922.0,2720009175.0,2.0
2121269922.0,2305407655.0,2.0
2277217696.0,2070005598.0,2.0
2277217696.0,2172039928.0,2.0
2277217696.0,2720009175.0,2.0
2277217696.0,2305407655.0,2.0
2197783474.0,2429882779.0,1.0
2197783474.0,2684354287.0,1.0
2197783474.0,2172112119.0,1.0
2197783474.0,2256625874.0,1.0
2121269922.0,2429882779.0,1.0
2121269922.0,2684354287.0,1.0
2121269922.0,2172112119.0,1.0
2121269922.0,2256625874.0,1.0
2277217696.0,2429882779.0,1.0
2277217696.0,2684354287.0,1.0
2277217696.0,2172112119.0,1.0
2277217696.0,2256625874.0,1.0
2197783474.0,2706528108.0,2.0
2197783474.0,1996378006.0,2.0
2197783474.0,1656840180.0,2.0
2121269922.0,2706528108.0,2.0
2121269922.0,1996378006.0,2.0
2121269922.0,1656840180.0,2.0
2277217696.0,2706528108.0,2.0
2277217696.0,1996378006.0,2.0
2277217696.0,1656840180.0,2.0
2197783474.0,2096017775.0,1.0
2197783474.0,2111602795.0,1.0
2121269922.0,2096017775.0,1.0
2121269922.0,2111602795.0,1.0
2277217696.0,2096017775.0,1.0
2277217696.0,2111602795.0,1.0
2133247355.0,2169669433.0,4.0
2717858826.0,2169669433.0,4.0
2323350189.0,2169669433.0,4.0
2154240125.0,2169669433.0,4.0
2133247355.0,2077736714.0,1.0
2133247355.0,1834339306.0,1.0
2133247355.0,2112772285.0,1.0
2717858826.0,2077736714.0,1.0
2717858826.0,1834339306.0,1.0
2717858826.0,2112772285.0,1.0
2323350189.0,2077736714.0,1.0
2323350189.0,1834339306.0,1.0
2323350189.0,2112772285.0,1.0
2154240125.0,2077736714.0,1.0
2154240125.0,1834339306.0,1.0
2154240125.0,2112772285.0,1.0
2133247355.0,2105245141.0,1.0
2133247355.0,2087314693.0,1.0
2717858826.0,2105245141.0,1.0
2717858826.0,2087314693.0,1.0
2323350189.0,2105245141.0,1.0
2323350189.0,2087314693.0,1.0
2154240125.0,2105245141.0,1.0
2154240125.0,2087314693.0,1.0
2133247355.0,2600466324.0,2.0
2717858826.0,2600466324.0,2.0
2323350189.0,2600466324.0,2.0
2154240125.0,2600466324.0,2.0
2133247355.0,2893803229.0,1.0
2717858826.0,2893803229.0,1.0
2323350189.0,2893803229.0,1.0
2154240125.0,2893803229.0,1.0
2133247355.0,2552152799.0,1.0
2717858826.0,2552152799.0,1.0
2323350189.0,2552152799.0,1.0
2154240125.0,2552152799.0,1.0
2133247355.0,1971398447.0,1.0
2133247355.0,2159295795.0,1.0
2133247355.0,2136943937.0,1.0
2717858826.0,1971398447.0,1.0
2717858826.0,2159295795.0,1.0
2717858826.0,2136943937.0,1.0
2323350189.0,1971398447.0,1.0
2323350189.0,2159295795.0,1.0
2323350189.0,2136943937.0,1.0
2154240125.0,1971398447.0,1.0
2154240125.0,2159295795.0,1.0
2154240125.0,2136943937.0,1.0
2133247355.0,2076522883.0,4.0
2133247355.0,1094293128.0,1.0
2133247355.0,2247292572.0,2.0
2717858826.0,2076522883.0,1.0
2717858826.0,1094293128.0,1.0
2717858826.0,2247292572.0,1.0
2323350189.0,2076522883.0,1.0
2323350189.0,1094293128.0,1.0
2323350189.0,2247292572.0,1.0
2154240125.0,2076522883.0,4.0
2154240125.0,1094293128.0,1.0
2154240125.0,2247292572.0,2.0
1988930059.0,2077736714.0,1.0
1988930059.0,1834339306.0,1.0
1988930059.0,2127616844.0,1.0
1988930059.0,2550453853.0,1.0
229551928.0,2077736714.0,1.0
229551928.0,1834339306.0,1.0
229551928.0,2127616844.0,1.0
229551928.0,2550453853.0,1.0
