title,author,url,year,num_citations,num_versions,cluster_id,url_pdf,url_citations,url_versions,url_citation,excerpt
b'Surveying and Digital Restoration of Towering Architectural Heritage in Harsh Environments: a Case Study of the Millennium Ancient Watchtower in Tibet,"S Chen, H Yang, S Wang, Q Hu\xc2\xa0",http://scholar.google.com/https://www.mdpi.com/2071-1050/10/9/3138,2018,0,6,None,None,None,"http://scholar.google.com/scholar?cluster=7969236729542488179&hl=en&as_sdt=0,5&sciodt=0,5",None,"Aiming at the problem of difficult data collection and modeling in high-rise ancient buildings with narrow interiors, a method is proposed in this paper for modeling and supporting digital restoration based on unmanned aerial vehicle oblique photogrammetry combined with three\xc2\xa0\xe2\x80\xa6'
"
b'Implementing a Modern E-Learning Strategy in an Interdisciplinary Environment\xe2\x80\x94Empowering UNESCO Stakeholders to Use Earth Observation,"T Matusch, A Schneibel, L Dannwolf, A Siegmund\xc2\xa0",http://scholar.google.com/https://www.mdpi.com/2076-3263/8/12/432,2018,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=1894893006851926777&hl=en&as_sdt=0,5&sciodt=0,5",None,"Abstract The Copernicus Program and the fleet of available Earth observation satellites provide valuable services in sectors such as agriculture, forestry, urban monitoring, and heritage management. However, drawbacks such as knowledge gaps by the user, limited\xc2\xa0\xe2\x80\xa6'
"
"b'Assessing the effects of severe weather events through remote sensing on Samothrace, Greece: applications for the management of cultural resources","D Plekhov, EI Levine\xc2\xa0",http://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S2352409X18303900,2018,0,0,None,None,None,None,None,"The rapidly increasing number of earth observation satellites provides new opportunities for the multitemporal investigation of archaeological sites and the monitoring of cultural heritage. This paper explores the potential of daily satellite imagery with high spatial\xc2\xa0\xe2\x80\xa6'
"
b'Google Earth as a Powerful Tool for Archaeological and Cultural Heritage Applications: A Review,"L Luo, X Wang, H Guo, R Lasaponara, P Shi\xe2\x80\xa6\xc2\xa0",http://scholar.google.com/https://www.mdpi.com/2072-4292/10/10/1558,2018,0,3,None,None,None,"http://scholar.google.com/scholar?cluster=10147942687688510115&hl=en&as_sdt=0,5&sciodt=0,5",None,"Google Earth (GE), a large Earth-observation data-based geographical information computer application, is an intuitive three-dimensional virtual globe. It enables archaeologists around the world to communicate and share their multisource data and\xc2\xa0\xe2\x80\xa6'
"
