title,author,url,year,num_citations,num_versions,cluster_id,url_pdf,url_citations,url_versions,url_citation,excerpt
"b""The Swedish Transport Administration's Toolbox and its Potential in Archaeological and Cultural Heritage Survey.: Including a brief review of remote sensing\xc2\xa0\xe2\x80\xa6","PI Buckland, R Nyqvist, B Alexander, G Palsson\xe2\x80\xa6 ",http://www.diva-portal.org/smash/record.jsf?pid=diva2:1189429,2018,0,0,None,None,None,None,None,"The Swedish Transport Administration (Trafikverket) undertakes a variety of data collection, collation and analysis tasks during the course of road and railway planning and construction projects. A number of these tasks overlap with processes, or analysis methods, common in\xc2\xa0\xe2\x80\xa6""
"
"b""ENVIRONMENTAL ARCHAEOLOGY LAB.","P Buckland, J Olofsson, R Engelmark ",http://scholar.google.com/https://www.researchgate.net/profile/Philip_Buckland/publication/324747638_The_Swedish_Transport_Administration's_Toolbox_and_its_Potential_in_Archaeological_and_Cultural_Heritage_Survey_Including_a_brief_review_of_remote_sensing_prospection_and_geodata_analysis_methods_for_/links/5ae045f1aca272fdaf8bda56/The-Swedish-Transport-Administrations-Toolbox-and-its-Potential-in-Archaeological-and-Cultural-Heritage-Survey-Including-a-brief-review-of-remote-sensing-prospection-and-geodata-analysis-methods-for.pdf,None,0,6,None,http://scholar.google.com/https://www.researchgate.net/profile/Philip_Buckland/publication/324747638_The_Swedish_Transport_Administration's_Toolbox_and_its_Potential_in_Archaeological_and_Cultural_Heritage_Survey_Including_a_brief_review_of_remote_sensing_prospection_and_geodata_analysis_methods_for_/links/5ae045f1aca272fdaf8bda56/The-Swedish-Transport-Administrations-Toolbox-and-its-Potential-in-Archaeological-and-Cultural-Heritage-Survey-Including-a-brief-review-of-remote-sensing-prospection-and-geodata-analysis-methods-for.pdf,None,"http://scholar.google.com/scholar?cluster=10255605131450668579&hl=en&as_sdt=0,5&sciodt=0,5",None,"The Swedish Transport Administration (Trafikverket) undertakes a variety of data collection, collation and analysis tasks during the course of road and railway planning and construction projects. A number of these tasks overlap with processes, or analysis methods, common in\xc2\xa0\xe2\x80\xa6""
"
